fecha,release_version
2016-06-08 14:26:00,1.223.1062.0
2016-06-08 17:17:00,1.223.1075.0
2016-06-08 18:48:00,1.223.1083.0
2016-06-08 20:20:00,1.223.1089.0
2016-06-08 21:55:00,1.223.1093.0
2016-06-08 23:19:00,1.223.1101.0
2016-06-09 00:45:00,1.223.1109.0
2016-06-09 02:11:00,1.223.1112.0
2016-06-09 03:40:00,1.223.1121.0
2016-06-09 05:10:00,1.223.1127.0
2016-06-09 08:09:00,1.223.1137.0
2016-06-09 09:41:00,1.223.1145.0
2016-06-09 11:49:00,1.223.1151.0
2016-06-09 14:26:00,1.223.1159.0
2016-06-09 17:42:00,1.223.1180.0
2016-06-09 19:11:00,1.223.1185.0
2016-06-09 20:41:00,1.223.1193.0
2016-06-09 22:08:00,1.223.1196.0
2016-05-29 08:00:00,1.223.124.0
2016-06-10 06:58:00,1.223.1259.0
2016-06-10 08:26:00,1.223.1264.0
2016-06-10 09:55:00,1.223.1266.0
2016-05-29 09:25:00,1.223.127.0
2016-06-10 13:00:00,1.223.1276.0
2016-06-10 14:31:00,1.223.1281.0
2016-06-10 18:58:00,1.223.1292.0
2016-06-11 00:55:00,1.223.1314.0
2016-06-11 02:29:00,1.223.1318.0
2016-06-11 03:51:00,1.223.1327.0
2016-05-29 12:20:00,1.223.133.0
2016-06-11 06:58:00,1.223.1333.0
2016-06-11 09:58:00,1.223.1338.0
2016-06-11 11:26:00,1.223.1342.0
2016-06-11 12:59:00,1.223.1344.0
2016-06-11 14:25:00,1.223.1351.0
2016-06-11 17:27:00,1.223.1357.0
2016-06-11 18:56:00,1.223.1360.0
2016-06-11 20:26:00,1.223.1365.0
2016-06-11 23:18:00,1.223.1370.0
2016-06-12 00:55:00,1.223.1374.0
2016-06-12 02:22:00,1.223.1376.0
2016-06-12 06:54:00,1.223.1384.0
2016-06-12 15:33:00,1.223.1400.0
2016-06-12 17:17:00,1.223.1406.0
2016-06-12 19:48:00,1.223.1412.0
2016-06-12 21:40:00,1.223.1414.0
2016-06-12 22:56:00,1.223.1419.0
2016-06-13 00:26:00,1.223.1424.0
2016-06-13 01:54:00,1.223.1427.0
2016-06-13 03:27:00,1.223.1429.0
2016-06-13 04:59:00,1.223.1433.0
2016-06-13 06:24:00,1.223.1437.0
2016-06-13 08:38:00,1.223.1440.0
2016-06-13 09:38:00,1.223.1443.0
2016-05-29 16:44:00,1.223.145.0
2016-06-13 15:35:00,1.223.1459.0
2016-06-13 17:28:00,1.223.1465.0
2016-06-13 18:44:00,1.223.1470.0
2016-06-13 20:02:00,1.223.1473.0
2016-06-13 21:29:00,1.223.1476.0
2016-06-13 23:00:00,1.223.1485.0
2016-06-14 00:29:00,1.223.1492.0
2016-06-14 01:59:00,1.223.1499.0
2016-05-28 03:44:00,1.223.15.0
2016-06-14 03:30:00,1.223.1506.0
2016-06-14 08:15:00,1.223.1533.0
2016-06-14 09:41:00,1.223.1538.0
2016-06-14 11:27:00,1.223.1545.0
2016-06-15 00:10:00,1.223.1597.0
2016-06-15 06:33:00,1.223.1636.0
2016-06-15 08:03:00,1.223.1640.0
2016-06-15 09:33:00,1.223.1648.0
2016-06-15 12:49:00,1.223.1660.0
2016-06-15 14:14:00,1.223.1665.0
2016-06-15 15:42:00,1.223.1669.0
2016-06-15 17:09:00,1.223.1671.0
2016-06-15 20:11:00,1.223.1683.0
2016-06-16 03:16:00,1.223.1709.0
2016-06-16 04:45:00,1.223.1712.0
2016-06-16 06:20:00,1.223.1716.0
2016-06-16 07:48:00,1.223.1720.0
2016-06-16 09:27:00,1.223.1723.0
2016-06-16 10:45:00,1.223.1733.0
2016-06-16 12:17:00,1.223.1737.0
2016-05-30 04:28:00,1.223.174.0
2016-06-16 15:18:00,1.223.1743.0
2016-06-16 16:47:00,1.223.1749.0
2016-06-16 19:00:00,1.223.1752.0
2016-06-16 20:49:00,1.223.1755.0
2016-06-16 22:24:00,1.223.1758.0
2016-06-17 00:06:00,1.223.1766.0
2016-06-17 03:10:00,1.223.1793.0
2016-06-17 04:47:00,1.223.1800.0
2016-06-17 06:20:00,1.223.1809.0
2016-06-17 07:50:00,1.223.1814.0
2016-06-17 09:16:00,1.223.1824.0
2016-06-17 10:45:00,1.223.1828.0
2016-06-17 12:15:00,1.223.1838.0
2016-06-17 13:44:00,1.223.1847.0
2016-06-17 16:04:00,1.223.1849.0
2016-05-30 08:59:00,1.223.186.0
2016-06-17 18:46:00,1.223.1873.0
2016-06-17 20:15:00,1.223.1880.0
2016-06-18 04:35:00,1.223.1927.0
2016-06-18 06:12:00,1.223.1936.0
2016-06-18 08:27:00,1.223.1944.0
2016-05-30 11:56:00,1.223.196.0
2016-06-18 12:20:00,1.223.1964.0
2016-06-18 15:36:00,1.223.1978.0
2016-06-18 17:07:00,1.223.1983.0
2016-06-18 18:33:00,1.223.1991.0
2016-06-18 19:54:00,1.223.1997.0
2016-06-18 21:52:00,1.223.2006.0
2016-06-18 22:54:00,1.223.2015.0
2016-06-19 00:25:00,1.223.2023.0
2016-06-19 01:57:00,1.223.2029.0
2016-06-19 03:25:00,1.223.2035.0
2016-06-19 04:49:00,1.223.2044.0
2016-06-19 06:28:00,1.223.2048.0
2016-06-19 08:06:00,1.223.2055.0
2016-06-19 10:43:00,1.223.2061.0
2016-06-19 12:32:00,1.223.2074.0
2016-05-30 14:59:00,1.223.208.0
2016-06-19 16:54:00,1.223.2098.0
2016-06-19 18:22:00,1.223.2104.0
2016-06-19 20:18:00,1.223.2112.0
2016-06-19 21:25:00,1.223.2118.0
2016-06-19 22:55:00,1.223.2126.0
2016-06-20 00:25:00,1.223.2135.0
2016-06-20 05:01:00,1.223.2155.0
2016-06-20 06:53:00,1.223.2163.0
2016-06-20 08:03:00,1.223.2169.0
2016-06-20 09:33:00,1.223.2178.0
2016-06-20 11:02:00,1.223.2184.0
2016-06-20 12:32:00,1.223.2192.0
2016-06-20 14:06:00,1.223.2198.0
2016-06-20 15:39:00,1.223.2207.0
2016-06-20 18:41:00,1.223.2221.0
2016-06-20 20:07:00,1.223.2223.0
2016-06-20 21:46:00,1.223.2229.0
2016-06-20 23:13:00,1.223.2235.0
2016-06-21 00:48:00,1.223.2240.0
2016-06-21 02:14:00,1.223.2249.0
2016-06-21 03:41:00,1.223.2255.0
2016-06-21 15:57:00,1.223.2302.0
2016-06-21 17:08:00,1.223.2310.0
2016-06-21 18:47:00,1.223.2313.0
2016-06-21 20:03:00,1.223.2317.0
2016-06-21 21:35:00,1.223.2319.0
2016-06-22 00:49:00,1.223.2332.0
2016-06-22 02:23:00,1.223.2337.0
2016-06-22 03:51:00,1.223.2346.0
2016-06-22 05:25:00,1.223.2352.0
2016-06-22 09:28:00,1.223.2360.0
2016-06-22 12:18:00,1.223.2382.0
2016-06-22 13:40:00,1.223.2388.0
2016-06-22 15:22:00,1.223.2393.0
2016-06-22 16:42:00,1.223.2397.0
2016-06-22 18:14:00,1.223.2405.0
2016-06-22 19:47:00,1.223.2407.0
2016-06-23 03:33:00,1.223.2440.0
2016-06-23 04:58:00,1.223.2446.0
2016-06-23 06:33:00,1.223.2451.0
2016-06-23 08:04:00,1.223.2454.0
2016-06-23 09:43:00,1.223.2460.0
2016-06-23 11:01:00,1.223.2464.0
2016-06-23 12:27:00,1.223.2468.0
2016-06-23 13:58:00,1.223.2471.0
2016-06-23 15:53:00,1.223.2483.0
2016-06-23 17:12:00,1.223.2489.0
2016-06-23 18:41:00,1.223.2495.0
2016-06-23 22:25:00,1.223.2506.0
2016-05-31 04:33:00,1.223.251.0
2016-06-24 01:59:00,1.223.2519.0
2016-06-24 02:32:00,1.223.2527.0
2016-06-24 03:26:00,1.223.2531.0
2016-06-24 05:06:00,1.223.2538.0
2016-06-24 06:31:00,1.223.2544.0
2016-06-24 08:04:00,1.223.2550.0
2016-06-24 09:29:00,1.223.2553.0
2016-06-24 10:57:00,1.223.2580.0
2016-06-24 12:27:00,1.223.2587.0
2016-05-31 06:55:00,1.223.260.0
2016-06-24 18:24:00,1.223.2606.0
2016-06-24 19:58:00,1.223.2610.0
2016-06-24 21:33:00,1.223.2614.0
2016-06-24 23:05:00,1.223.2619.0
2016-06-25 00:30:00,1.223.2623.0
2016-06-25 01:58:00,1.223.2632.0
2016-06-25 03:30:00,1.223.2635.0
2016-06-25 05:01:00,1.223.2637.0
2016-06-25 06:32:00,1.223.2641.0
2016-06-25 08:09:00,1.223.2643.0
2016-06-25 09:27:00,1.223.2646.0
2016-06-25 12:29:00,1.223.2655.0
2016-06-25 14:01:00,1.223.2658.0
2016-06-25 15:32:00,1.223.2661.0
2016-06-25 17:01:00,1.223.2664.0
2016-06-25 18:33:00,1.223.2667.0
2016-06-25 19:59:00,1.223.2670.0
2016-06-25 21:34:00,1.223.2675.0
2016-06-25 23:02:00,1.223.2678.0
2016-06-26 00:32:00,1.223.2684.0
2016-06-26 02:01:00,1.223.2685.0
2016-06-26 03:31:00,1.223.2687.0
2016-06-26 04:55:00,1.223.2689.0
2016-06-26 06:33:00,1.223.2694.0
2016-06-26 09:34:00,1.223.2699.0
2016-06-26 12:33:00,1.223.2704.0
2016-06-26 14:04:00,1.223.2708.0
2016-06-26 15:25:00,1.223.2711.0
2016-06-26 17:03:00,1.223.2713.0
2016-06-26 18:43:00,1.223.2717.0
2016-06-26 20:06:00,1.223.2722.0
2016-06-26 21:36:00,1.223.2724.0
2016-06-26 23:06:00,1.223.2730.0
2016-06-27 00:38:00,1.223.2736.0
2016-06-27 02:11:00,1.223.2738.0
2016-06-27 03:39:00,1.223.2743.0
2016-06-27 05:04:00,1.223.2747.0
2016-06-27 06:41:00,1.223.2752.0
2016-06-27 08:22:00,1.223.2758.0
2016-06-27 09:43:00,1.223.2764.0
2016-06-27 11:16:00,1.223.2766.0
2016-06-27 12:42:00,1.223.2775.0
2016-06-27 14:13:00,1.223.2781.0
2016-06-27 15:44:00,1.223.2784.0
2016-06-27 17:13:00,1.223.2787.0
2016-06-27 18:43:00,1.223.2791.0
2016-06-27 20:20:00,1.223.2796.0
2016-06-27 23:23:00,1.223.2804.0
2016-06-28 00:45:00,1.223.2807.0
2016-06-28 02:13:00,1.223.2816.0
2016-06-28 03:46:00,1.223.2819.0
2016-06-28 05:28:00,1.223.2826.0
2016-06-28 06:50:00,1.223.2835.0
2016-06-28 08:24:00,1.223.2839.0
2016-06-28 09:51:00,1.223.2844.0
2016-06-28 11:49:00,1.223.2847.0
2016-06-28 13:17:00,1.223.2853.0
2016-06-28 14:54:00,1.223.2858.0
2016-06-28 16:25:00,1.223.2864.0
2016-06-28 17:53:00,1.223.2871.0
2016-06-28 19:19:00,1.223.2875.0
2016-06-28 20:56:00,1.223.2880.0
2016-06-28 22:26:00,1.223.2886.0
2016-06-28 23:58:00,1.223.2891.0
2016-06-29 01:26:00,1.223.2894.0
2016-06-29 02:59:00,1.223.2897.0
2016-06-29 04:27:00,1.223.2903.0
2016-06-29 05:59:00,1.223.2905.0
2016-06-29 07:35:00,1.223.2912.0
2016-06-29 09:01:00,1.223.2916.0
2016-06-29 10:33:00,1.223.2923.0
2016-06-29 12:10:00,1.223.2928.0
2016-06-29 13:45:00,1.223.2935.0
2016-06-29 15:45:00,1.223.2940.0
2016-06-29 19:53:00,1.223.2949.0
2016-05-28 00:35:00,1.223.3.0
2016-05-31 23:30:00,1.223.331.0
2016-06-01 06:55:00,1.223.370.0
2016-06-01 11:19:00,1.223.392.0
2016-06-02 02:34:00,1.223.455.0
2016-06-02 08:40:00,1.223.489.0
2016-06-02 13:01:00,1.223.505.0
2016-06-02 14:51:00,1.223.515.0
2016-06-02 16:26:00,1.223.523.0
2016-05-28 12:11:00,1.223.54.0
2016-06-02 19:59:00,1.223.540.0
2016-06-02 23:05:00,1.223.555.0
2016-06-03 01:14:00,1.223.564.0
2016-06-03 04:22:00,1.223.580.0
2016-06-03 05:46:00,1.223.588.0
2016-06-03 09:06:00,1.223.623.0
2016-06-03 13:37:00,1.223.646.0
2016-06-03 14:59:00,1.223.649.0
2016-06-03 19:25:00,1.223.667.0
2016-06-03 20:54:00,1.223.675.0
2016-06-03 22:22:00,1.223.679.0
2016-06-03 23:55:00,1.223.683.0
2016-06-04 02:12:00,1.223.692.0
2016-06-04 03:17:00,1.223.695.0
2016-06-04 04:18:00,1.223.699.0
2016-06-04 07:16:00,1.223.710.0
2016-06-04 08:57:00,1.223.713.0
2016-06-04 10:19:00,1.223.715.0
2016-06-04 13:51:00,1.223.721.0
2016-06-04 17:22:00,1.223.730.0
2016-06-04 18:37:00,1.223.735.0
2016-06-04 19:48:00,1.223.739.0
2016-06-04 21:15:00,1.223.742.0
2016-06-05 01:53:00,1.223.751.0
2016-06-05 03:33:00,1.223.755.0
2016-06-05 10:39:00,1.223.784.0
2016-06-05 12:10:00,1.223.788.0
2016-06-05 13:36:00,1.223.791.0
2016-06-05 16:52:00,1.223.798.0
2016-06-05 18:54:00,1.223.800.0
2016-06-05 20:26:00,1.223.804.0
2016-06-05 22:11:00,1.223.810.0
2016-06-06 04:33:00,1.223.830.0
2016-06-06 06:10:00,1.223.834.0
2016-06-06 07:48:00,1.223.839.0
2016-06-06 09:23:00,1.223.844.0
2016-06-06 11:03:00,1.223.850.0
2016-06-07 00:22:00,1.223.903.0
2016-06-07 02:00:00,1.223.908.0
2016-06-07 05:59:00,1.223.927.0
2016-06-07 07:37:00,1.223.934.0
2016-06-07 10:39:00,1.223.943.0
2016-06-07 12:22:00,1.223.948.0
2016-06-07 13:56:00,1.223.957.0
2016-06-07 15:21:00,1.223.959.0
2016-06-07 16:50:00,1.223.968.0
2016-06-07 21:19:00,1.223.985.0
2016-06-07 22:46:00,1.223.992.0
2016-06-29 22:27:00,1.225.0.0
2016-07-09 19:48:00,1.225.1006.0
2016-06-30 22:36:00,1.225.101.0
2016-07-09 21:21:00,1.225.1014.0
2016-07-09 22:54:00,1.225.1020.0
2016-07-10 00:26:00,1.225.1028.0
2016-07-10 03:31:00,1.225.1042.0
2016-07-10 05:04:00,1.225.1047.0
2016-07-10 06:37:00,1.225.1055.0
2016-07-10 08:14:00,1.225.1063.0
2016-07-10 09:40:00,1.225.1069.0
2016-07-10 12:50:00,1.225.1083.0
2016-07-10 14:23:00,1.225.1092.0
2016-07-01 00:04:00,1.225.110.0
2016-07-10 15:55:00,1.225.1100.0
2016-07-10 17:26:00,1.225.1106.0
2016-07-10 20:34:00,1.225.1119.0
2016-07-10 22:07:00,1.225.1127.0
2016-07-10 23:45:00,1.225.1133.0
2016-07-11 02:50:00,1.225.1149.0
2016-07-11 04:20:00,1.225.1155.0
2016-07-11 06:55:00,1.225.1163.0
